first_name,last_name,email,rate,tax
Dore,Crowcroft,dcrowcroft0@multiply.com,708,45
Emera,Owthwaite,eowthwaite1@whitehouse.gov,7,15
Madeleine,Wale,mwale2@accuweather.com,880,39
Berte,Emlen,bemlen3@epa.gov,251,
Leena,Rottgers,lrottgers4@wp.com,935,90
Solomon,Curreen,scurreen5@cnn.com,937,27
Quincey,Batiste,qbatiste6@amazon.co.jp,210,5
Gabie,Cauley,gcauley7@ow.ly,688,21
Daryl,Flitcroft,dflitcroft8@spotify.com,575,64
Marga,Morter,mmorter9@soundcloud.com,322,92
Emelda,Coolican,ecoolicana@google.pl,929,55
Norrie,Wafer,nwaferb@php.net,399,7
Evey,Penvarne,epenvarnec@admin.ch,952,54
Samuele,Maypowder,smaypowderd@chicagotribune.com,702,46
Obie,Housecroft,ohousecrofte@com.com,250,16
Montgomery,Bucke,mbuckef@paginegialle.it,75,52
Beckie,Kerrod,bkerrodg@google.it,635,86
Ellwood,Gerber,egerberh@wordpress.com,670,21
Marleen,Sunderland,msunderlandi@msn.com,394,54
Juditha,Ends,jendsj@scientificamerican.com,569,80
Kilian,Halbert,khalbertk@oakley.com,564,34
Cordey,Tortis,ctortisl@prlog.org,142,5
Alastair,Groundwater,agroundwaterm@toplist.cz,365,
Kesley,Aspinell,kaspinelln@baidu.com,81,60
Evy,Dingsdale,edingsdaleo@amazon.com,363,40
Delphinia,Jaskowicz,djaskowiczp@cdc.gov,351,41
Agosto,Rubel,arubelq@flavors.me,987,82
Lesley,Sandercock,lsandercockr@360.cn,128,40
Joby,Bennis,jbenniss@domainmarket.com,193,94
Tiff,Gidman,tgidmant@stumbleupon.com,386,30
Penn,Clulee,pcluleeu@sciencedaily.com,190,22
Averil,Brawson,abrawsonv@cnet.com,640,71
Tucker,Poundesford,tpoundesfordw@163.com,565,
Vivi,Weiss,vweissx@opera.com,,
Lorelei,Baiss,lbaissy@dagondesign.com,632,96
Bari,Goldthorpe,bgoldthorpez@tinypic.com,830,3
Brenda,Collelton,bcollelton10@nasa.gov,890,60
Cassandre,Brachell,cbrachell11@reverbnation.com,38,31
Alleyn,Gaskamp,agaskamp12@1688.com,855,100
Katti,Wardlow,kwardlow13@squarespace.com,50,98
Riordan,Leatt,rleatt14@dailymail.co.uk,286,54
Deena,Singh,dsingh15@wikispaces.com,485,
Tull,Musso,tmusso16@smugmug.com,2,26
Babara,Kincla,bkincla17@bigcartel.com,722,65
Goddart,de Almeida,gdealmeida18@oracle.com,513,39
Theodoric,Yerrell,tyerrell19@va.gov,567,
Dwayne,Cheng,dcheng1a@g.co,952,55
Melita,Lewnden,mlewnden1b@delicious.com,,79
Rebbecca,Askham,raskham1c@google.co.uk,651,87
Carlin,Finnimore,cfinnimore1d@reverbnation.com,307,
Violet,Sirrell,vsirrell1e@google.fr,81,
Robers,Joe,rjoe1f@cmu.edu,994,
Jean,Osipenko,josipenko1g@utexas.edu,154,80
Ignacius,Gallimore,igallimore1h@wiley.com,547,31
Franklin,Handrock,fhandrock1i@sbwire.com,375,57
Conny,McWhorter,cmcwhorter1j@storify.com,824,1
Ellissa,Bettenay,ebettenay1k@diigo.com,325,
Culley,Morrad,cmorrad1l@harvard.edu,340,34
Viola,Bleacher,vbleacher1m@craigslist.org,323,44
Cliff,Wigelsworth,cwigelsworth1n@chicagotribune.com,702,2
Filippa,Dauney,fdauney1o@ftc.gov,104,81
Aurea,Lafond,alafond1p@spotify.com,907,4
Larina,Milverton,lmilverton1q@opensource.org,436,
Doreen,Saward,dsaward1r@cdc.gov,786,77
Grenville,Minney,gminney1s@linkedin.com,,
Maxie,Cocksedge,mcocksedge1t@china.com.cn,245,9
Dolley,Dorton,ddorton1u@i2i.jp,398,40
Somerset,Daskiewicz,sdaskiewicz1v@php.net,414,68
Tallia,Bourdice,tbourdice1w@smugmug.com,762,94
Cleveland,Harmstone,charmstone1x@addtoany.com,892,93
Pavla,Rainon,prainon1y@diigo.com,702,76
Shelby,Petrov,spetrov1z@yale.edu,201,94
Edgard,Dedam,ededam20@google.com,876,58
Leshia,Rosengarten,lrosengarten21@digg.com,138,68
Dorian,Waterson,dwaterson22@nyu.edu,889,18
Marleah,Sangar,msangar23@mapquest.com,872,
Matti,Jovicic,mjovicic24@ucsd.edu,524,75
Ripley,Patillo,rpatillo25@wiley.com,368,94
Sean,Capes,scapes26@livejournal.com,658,
Daryl,Jaggers,djaggers27@google.co.uk,420,92
Rochester,Coggeshall,rcoggeshall28@storify.com,964,92
Rinaldo,Dechelle,rdechelle29@prnewswire.com,498,40
Norah,McGragh,nmcgragh2a@toplist.cz,640,18
Steffie,McCuffie,smccuffie2b@t-online.de,,
Conni,Gigg,cgigg2c@goo.gl,,55
Lydon,Pinkie,lpinkie2d@photobucket.com,,45
Kori,Olin,kolin2e@admin.ch,,
Dud,Cornhill,dcornhill2f@si.edu,735,
Anneliese,Beinke,abeinke2g@salon.com,675,76
Fitzgerald,Fabler,ffabler2h@hubpages.com,222,81
Linet,Sauvain,lsauvain2i@e-recht24.de,650,60
Mellisa,Thurley,mthurley2j@printfriendly.com,218,41
Daveen,Hinder,dhinder2k@dmoz.org,987,12
Minna,Coslett,mcoslett2l@typepad.com,31,63
Milly,Fishburn,mfishburn2m@bandcamp.com,953,77
Amanda,Vautier,avautier2n@opera.com,114,
Barnett,Chudleigh,bchudleigh2o@wsj.com,626,71
Stanislaus,Riddler,sriddler2p@google.ru,566,13
Joline,Kolin,jkolin2q@youku.com,591,29
Isabel,Beeck,ibeeck2r@oracle.com,,75
